Name	Code	Data Type	Length	Precision	Primary	Foreign Key	Mandatory
餐位序号	SET_NO	numeric(10)	10		FALSE	FALSE	FALSE
订单号	ORDER_NO	varchar(30)	30		FALSE	FALSE	TRUE
订单标识	ORDER_ID	numeric(10)	10		TRUE	FALSE	TRUE
记录员	RECORD_STAFF_ID	numeric(10)	10		FALSE	TRUE	FALSE
服务员	SERVICE_STAFF_ID	numeric(10)	10		FALSE	TRUE	FALSE
来宾人数	MAN_COUNT	numeric(4)	4		FALSE	FALSE	TRUE
订单时间	ORDER_TIME	datetime			FALSE	FALSE	TRUE
订单状态	ORDER_STATUS	char(1)	1		FALSE	FALSE	TRUE
折扣	ORDER_DISCOUNT	numeric(3)	3		FALSE	FALSE	TRUE
折扣原因	ORDER_DISCOUNT_RESEON	varchar(100)	100		FALSE	FALSE	FALSE
是否已经拿发票	HAS_INVOICE	char(1)	1		FALSE	FALSE	TRUE
订单类型	ORDER_TYPE	char(1)	1		FALSE	FALSE	TRUE
预定人名字	PREARRANGE_NAME	varchar(40)	40		FALSE	FALSE	FALSE
预定人电话号码	PREARRANGE_PHONE	varchar(40)	40		FALSE	FALSE	FALSE
预定人数	PREARRANGE_MAN_COUNT	numeric(3)	3		FALSE	FALSE	FALSE
预定VIP卡号	VIP_CARD_NO	varchar(30)	30		FALSE	FALSE	FALSE
催菜次数	HURRY_TIMES	numeric(3)	3		FALSE	FALSE	FALSE
订餐人地址	PREARRANGE_ADDR	varchar(100)	100		FALSE	FALSE	FALSE
店面ID	SF_ID	numeric(10)	10		FALSE	FALSE	FALSE
